model,resp_id,orig_idx,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label,doc_id,summ_model
tofueval_Qwen2.5-0.5B-Instruct,17,17,1.2362821102142334,116,1.1703441143035889,0.19916677474975586,"[0.426449780077809, 0.32261644561495373, 0.5685981970531437, 0.0546545323840809, 0.038935945688335936]","[0.07142236536008564, 0.07836290330578594, 0.07260822125683306, 0.006190386535851007, 0.003909002631199941]",0,AlamedaCC_02172015_2015-1189,model_E
tofueval_Qwen2.5-0.5B-Instruct,18,18,3.1912546157836914,23,1.6326411962509155,0.3408682644367218,"[0.17566383431894, -0.08905589768919922, -0.03331235449940837, 0.033706170166070755, 1.1430513164377771]","[0.009998196936106504, 0.0035842528153431845, 0.0012792860509010927, 0.0009558765538476227, 0.31561165013472026]",0,AlamedaCC_04042017_2017-4092,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,19,19,1.2935774326324463,92,2.0101561546325684,0.24053721129894257,"[0.0006950536014063919, -0.030033043747325988, -0.011916044760739722, -0.006547621201172621, 1.8640800341002077]","[0.0017255796319931426, 0.0010545062506673237, 0.00046897106858276186, 0.0005519178939455633, 0.21831697050694618]",1,AlamedaCC_04042017_2017-4092,model_A
tofueval_Qwen2.5-0.5B-Instruct,20,20,0.7919209599494934,77,2.253887414932251,0.291969358921051,"[-0.013482043093337732, 0.002105152026896068, 0.00037622185640453587, -0.007680029190417124, 2.174524383202147]","[0.0015042882941038265, 0.0020082219600503952, 0.0010400880581652348, 0.0004961116641286392, 0.2780220243609631]",1,AlamedaCC_04042017_2017-4092,model_B
tofueval_Qwen2.5-0.5B-Instruct,21,21,1.2918542623519897,101,2.2105932235717773,0.2892688810825348,"[-0.04805933983523501, -0.058820915968411075, 0.011580122889075811, -0.028818365577769716, 1.995678913923635]","[0.007415565718569233, 0.009759912715674429, 0.0013833930419456192, 0.0014051516781593124, 0.2670876556594792]",1,AlamedaCC_04042017_2017-4092,model_C
tofueval_Qwen2.5-0.5B-Instruct,22,22,0.9093730449676514,57,3.65140438079834,0.4118930697441101,"[0.007600249822069982, 0.0160114753146748, -0.0030207339339683946, 0.006464149647654905, 3.3193006148692548]","[0.0015479175143163478, 0.0022808001801957033, 0.0006522934008899028, 0.0006163429733884154, 0.39462750453273193]",0,AlamedaCC_04042017_2017-4092,model_D
tofueval_Qwen2.5-0.5B-Instruct,23,23,1.1165863275527954,43,2.6708316802978516,0.35454344749450684,"[-0.016404260365032865, 0.011878731529746844, 0.01243721957552077, -0.015398542211568023, 2.2026421669193783]","[0.003289218428225465, 0.0014153769811285368, 0.0005235408031957599, 0.0006717833962449445, 0.31275278585624533]",1,AlamedaCC_04042017_2017-4092,model_E
tofueval_Qwen2.5-0.5B-Instruct,24,24,2.6241061687469482,66,0.7199388146400452,0.14188651740550995,"[-0.024241458061706824, 0.01678346777900212, 0.015256208686974842, 0.012588682094198675, 0.5139215268585152]","[0.008180028918876345, 0.0022817977819200182, 0.0003760360232883448, 0.001022921927366924, 0.11139533469967125]",1,AlamedaCC_04042017_2017-4092,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,25,25,0.5073896646499634,66,3.78426194190979,0.4215225577354431,"[0.0636260892295702, 0.017940942855216923, -0.006739022715647259, -0.0008621338540706347, 3.481532276556016]","[0.003685417187424181, 0.0016058016062157603, 0.0017865191118365449, 0.0006534449714281161, 0.41141210983187193]",0,AlamedaCC_04042017_2017-4092,model_A
tofueval_Qwen2.5-0.5B-Instruct,26,26,0.8614451885223389,39,3.000464916229248,0.3887175917625427,"[-0.022370504580259458, 0.016155874444516136, 0.01209321721497266, 0.012923629560436193, 2.6346869089473515]","[0.0026652519756319238, 0.0023031997805983105, 0.0005232942994837231, 0.0006446904680341248, 0.35815137998015883]",0,AlamedaCC_04042017_2017-4092,model_B
tofueval_Qwen2.5-0.5B-Instruct,27,27,0.9928064942359924,96,2.3761682510375977,0.2840544879436493,"[-0.03513999706531953, -0.015776371802909733, 0.0014987978028102589, 0.005673536012257803, 2.3942903264348083]","[0.0016055715870706422, 0.0018328649282182141, 0.0005487027037413365, 0.0006626930253617047, 0.279252858857338]",1,AlamedaCC_04042017_2017-4092,model_C
tofueval_Qwen2.5-0.5B-Instruct,28,28,1.6684975624084473,61,1.401228427886963,0.20686040818691254,"[-0.015871656576020212, 0.01008575476330183, -0.0005069424311513417, 0.002587067149686875, 1.280778635598597]","[0.0021760245471058193, 0.0019285811030997258, 0.00047619636967417627, 0.000729444752700087, 0.18950811177244042]",1,AlamedaCC_04042017_2017-4092,model_D
tofueval_Qwen2.5-0.5B-Instruct,29,29,1.3200225830078125,93,1.9486730098724365,0.24847356975078583,"[-0.0009126844391870182, 0.014540363849797573, 0.0031902659149675864, -0.0002951966469540381, 1.832843853746571]","[0.0030751593689792474, 0.0019188200686287057, 0.000568398744758514, 0.0005104557137521761, 0.2361698643171719]",1,AlamedaCC_04042017_2017-4092,model_E
tofueval_Qwen2.5-0.5B-Instruct,30,30,3.559882164001465,54,0.6333199143409729,0.13848885893821716,"[0.06919862609141057, -0.019685481543462998, 0.03976811027408716, 0.03354107552311487, 0.48933333723107353]","[0.004145139019884583, 0.00265615102640974, 0.0006419036131706822, 0.0012020064541839357, 0.11060663104129802]",1,AlamedaCC_04042017_2017-4092,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,31,31,1.546430230140686,47,1.8800772428512573,0.23421123623847961,"[-0.07707554797552608, 0.009887075727826239, 0.0015290399235883788, -0.00450342250328407, 1.576940339280322]","[0.004829923999731112, 0.0020289385131926543, 0.0005922759414232209, 0.0010252997817588039, 0.21132642637314078]",1,AlamedaCC_04042017_2017-4092,model_A
