model,resp_id,orig_idx,domain,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label
ragbench_Qwen2.5-0.5B-Instruct,19,19,finqa,0.8902767896652222,115,0.5342320799827576,0.09915564209222794,"[0.5856266828491757, -0.01687372648429237, 0.0007228180608565353, -0.018630749185040655]","[0.083558012424233, 0.0018972214568372652, 0.0019263331624405629, 0.005350531755600415]",1
ragbench_Qwen2.5-0.5B-Instruct,20,20,pubmedqa,0.9853253960609436,103,1.0326124429702759,0.15770387649536133,"[0.2950780225903622, -0.03942025019081555, -0.021918315667207228, 0.6819772533355223, 0.019629993617395616]","[0.03638931403113629, 0.015067167573502974, 0.012054393653028173, 0.07594860894228872, 0.0075722504235296115]",1
ragbench_Qwen2.5-0.5B-Instruct,21,21,pubmedqa,1.052125334739685,127,1.3375916481018066,0.19472190737724304,"[0.3106826564698862, 0.48881341746649076, -0.017856669325136482, 0.038251064845328045, -0.000779641369785898]","[0.0398486577913968, 0.07444695951873456, 0.005856591990815413, 0.007242399647905055, 0.004058270123405962]",1
ragbench_Qwen2.5-0.5B-Instruct,22,22,pubmedqa,1.229395866394043,155,0.7099589109420776,0.11347027122974396,"[0.11099204853784496, 0.07260152829864726, 0.02265222468353562, 0.46467291565563607]","[0.026345114985750918, 0.02044675740327853, 0.005800762760451921, 0.06140622811787943]",1
ragbench_Qwen2.5-0.5B-Instruct,23,23,pubmedqa,0.7189769744873047,200,1.196229100227356,0.1842760145664215,"[0.29577289139223467, -0.015414199833962812, 0.43097123154621386, 0.5343587303984577]","[0.044917683487541354, 0.010497134903226027, 0.057645780014623255, 0.07395175041014611]",1
ragbench_Qwen2.5-0.5B-Instruct,24,24,techqa,0.6300876140594482,113,-0.005139024928212166,0.0239864531904459,"[-0.007377435990666986, -0.016706779352072803, 0.0037804943244374744, -0.0023185396659666964, -0.005929989376293641]","[0.0033286287656573528, 0.002061912522321515, 0.004065765834600793, 0.001600418793627172, 0.0029723194352053706]",1
ragbench_Qwen2.5-0.5B-Instruct,25,25,techqa,1.1478908061981201,94,0.07464785128831863,0.031813886016607285,"[0.01168975159112535, 0.030850892499268198, -0.03882865668020578, 0.01288465478903666, -0.014982874238952757]","[0.006252096835865775, 0.004155572491848692, 0.0019839537619319304, 0.011152551231097074, 0.0025855232180290047]",1
ragbench_Qwen2.5-0.5B-Instruct,26,26,pubmedqa,1.1281026601791382,104,0.46429723501205444,0.07759043574333191,"[0.28894610604480964, 0.05610633992078927, 0.011074075063080412, 0.07312631854760919, 0.19597072856434422]","[0.04220148604987246, 0.011610356030171413, 0.010775489486295423, 0.011136472963275313, 0.01807283918994839]",1
ragbench_Qwen2.5-0.5B-Instruct,27,27,pubmedqa,1.1246343851089478,142,1.6090494394302368,0.24567092955112457,"[-0.04698235871447509, -0.036691080427411975, 0.6885656530168912, 0.34720540576769743, 0.6994195605882972]","[0.008853108262214013, 0.012602680140449012, 0.09056357631669137, 0.05461137659896279, 0.0889715293355751]",1
ragbench_Qwen2.5-0.5B-Instruct,28,28,techqa,1.4903427362442017,200,0.19507381319999695,0.0279553085565567,"[-0.0010476648047551861, -0.019704081624186073, -0.017456276938537484, -0.01509702289931738, 0.13848456410087237]","[0.0016192850943980374, 0.0016274872056999358, 0.0007955725666477064, 0.00048590110003942754, 0.020110237671487993]",1
ragbench_Qwen2.5-0.5B-Instruct,29,29,techqa,1.8085057735443115,139,0.4112367033958435,0.09330467879772186,"[0.06340632912176372, 0.052954546924457065, 0.01402537436789323, -0.004515629036138157]","[0.03511237790728124, 0.012562608441152139, 0.00609588272916933, 0.007699644490994549]",1
ragbench_Qwen2.5-0.5B-Instruct,30,30,finqa,0.6220430731773376,103,0.11966538429260254,0.0739697515964508,"[0.02079787707338392, 0.03689094338039812, 0.015965051851633213, 0.013330084238426475, 0.2174083334113688]","[0.0026597370944676426, 0.00437371069540625, 0.0010960705109660917, 0.0013634230626546721, 0.06277278135365032]",1
ragbench_Qwen2.5-0.5B-Instruct,31,31,pubmedqa,1.1474204063415527,200,1.2111459970474243,0.1737826019525528,"[0.5087194027702935, 0.30531272828616013, 0.24763309536098177, 0.21391811328870744]","[0.06034629319818549, 0.05177044747983018, 0.03599099721217293, 0.03242800359068127]",1
ragbench_Qwen2.5-0.5B-Instruct,32,32,finqa,0.6287595629692078,123,0.48467230796813965,0.0854046419262886,"[0.22924851322148898, 0.06685919899492394, 0.08388124852606269, 0.015570787035700527, 0.015784271558368253]","[0.0283246609422992, 0.007778014783451404, 0.017746059566718025, 0.003708851349160583, 0.0011310492248158336]",1
ragbench_Qwen2.5-0.5B-Instruct,33,33,pubmedqa,0.8526374697685242,200,0.6393955945968628,0.15186595916748047,"[0.01080047411450323, 0.5459102102567067, 0.07180948241948044, -0.01672903790952887]","[0.01053998047103562, 0.11695040225476419, 0.021930442985403715, 0.005063302031308581]",1
ragbench_Qwen2.5-0.5B-Instruct,34,34,techqa,1.5541735887527466,200,0.3448296785354614,0.07603186368942261,"[0.09828344188950723, -0.0004899703026239877, 0.08929894832104765, 0.044028499258893135, 0.019190511052074727]","[0.015836109849940386, 0.005732434769386146, 0.027230264550671564, 0.012825904365378733, 0.0075127934929139426]",1
ragbench_Qwen2.5-0.5B-Instruct,35,35,pubmedqa,1.4419546127319336,200,0.6852855682373047,0.14759497344493866,"[0.2841344731173558, 0.19534223136408627, 0.014653231881882221, 0.07743946152917261]","[0.061250102618179196, 0.03183723167887706, 0.011781903701361642, 0.022362555341482987]",1
ragbench_Qwen2.5-0.5B-Instruct,36,36,pubmedqa,1.495306372642517,73,0.5696259140968323,0.10085654258728027,"[0.10089307797140576, 0.11351462044774663, -0.0010835493712252236, 0.026277906420359178]","[0.03850524332468523, 0.020298176124357917, 0.006337045837516884, 0.004728465834217512]",1
